Date Range,Case Receipts,All Decisions,Fear Established (Y),Fear Not Established (N),Closings
2023-12-16-2023-12-31,"4,519","5,606","3,259","1,639",708
2024-01-01-2024-01-15,"6,163","6,826","3,226","2,149","1,451"
2024-01-16-2024-01-31,"8,993","11,275","3,475","3,479","4,321"
2024-02-01-2024-02-15,"9,203","11,427","3,659","3,523","4,245"
2024-02-16-2024-02-29,"8,701","9,079","3,317","3,215","2,547"
2024-03-01-2024-03-15,"9,390","11,324","4,152","3,244","3,928"
2024-03-16-2024-03-31,"8,394","12,458","4,898","3,681","3,879"
2024-04-01-2024-04-15,"8,688","9,434","4,279","3,604","1,551"
2024-04-16-2024-04-30,"9,333","10,077","4,343","3,854","1,880"
2024-05-01-2024-05-15,"9,956","9,217","4,030","3,777","1,410"
2024-05-16-2024-05-31,"10,054","9,296","3,922","3,570","1,804"
2024-06-01-2024-06-15,"5,471","7,119","3,245","2,492","1,382"
2024-06-16-2024-06-30,"1,653","6,432","2,315","1,473","2,644"
2024-07-01-2024-07-15,"1,023","2,646","1,057",602,987
2024-07-16-2024-07-31,943,"1,562",388,293,881
2024-08-01-2024-08-15,704,"1,227",216,172,839
